Run,Step,InCave,InMarket,InTown,Update,CurrentState
41,2,0,0,0,toMarket,1
41,3,0,1,1,toTown,3
41,4,0,0,0,toTown,5
41,5,0,0,0,toCave,6
41,6,0,0,0,toCave,2
41,7,1,0,0,toCave,2
41,8,1,0,0,toCave,2
41,9,1,0,0,toCave,2
41,10,1,0,0,toCave,2
41,11,1,0,0,toCave,2
41,12,1,0,0,toCave,2
41,13,1,0,0,toCave,2
41,14,1,0,0,toCave,2
42,0,0,0,0,toMarket,0
42,1,0,0,0,toMarket,0
42,2,0,1,1,toMarket,1
42,3,0,1,0,toMarket,5
42,4,0,0,0,toCave,6
42,5,1,0,0,toCave,2
42,6,1,0,0,toCave,2
42,7,1,0,0,toCave,2
42,8,1,0,0,toCave,2
42,9,1,0,0,toCave,2
42,10,1,0,0,toCave,2
42,11,1,0,0,toCave,2
42,12,1,0,0,toCave,2
42,13,0,0,0,toCave,2
42,14,1,0,0,toCave,2
43,0,0,0,0,toMarket,0
43,1,0,0,0,toMarket,0
43,2,0,1,1,toMarket,1
43,3,0,0,1,toMarket,5
43,4,0,0,0,toCave,6
43,5,1,0,0,toCave,2
43,6,1,0,0,toCave,2
43,7,1,0,0,toCave,2
43,8,1,0,0,toCave,2
43,9,0,0,0,toCave,2
43,10,1,0,0,toCave,2
43,11,1,0,0,toCave,2
43,12,1,0,0,toCave,2
43,13,1,0,0,toCave,2
43,14,0,0,0,toCave,2
44,0,0,0,0,toMarket,0
44,1,0,0,0,toMarket,0
44,2,0,1,1,toMarket,1
44,3,0,1,1,toMarket,5
44,4,0,1,1,toCave,6
44,5,0,0,0,toCave,2
44,6,0,1,1,toCave,2
44,7,0,1,1,toCave,2
44,8,1,1,1,toCave,2
44,9,1,0,0,toCave,2
44,10,1,0,0,toCave,2
44,11,1,0,0,toCave,2
44,12,1,0,0,toCave,2
44,13,1,0,0,toCave,2
44,14,0,0,0,toCave,2
45,0,0,0,0,toMarket,0
45,1,0,0,0,toMarket,0
45,2,0,1,0,toMarket,1
45,3,0,1,1,toMarket,4
45,4,0,1,1,toMarket,5
45,5,0,1,0,toCave,6
45,6,0,1,1,toCave,2
45,7,0,1,1,toCave,2
45,8,0,1,0,toCave,2
45,9,0,0,0,toCave,2
45,10,1,0,0,toCave,2
45,11,1,0,0,toCave,2
45,12,1,0,0,toCave,2
45,13,1,0,0,toCave,2
45,14,1,0,0,toCave,2
46,0,0,0,0,toMarket,0
46,1,0,0,0,toMarket,0
46,2,0,0,0,toMarket,1
46,3,0,0,1,toTown,3
46,4,0,0,1,toTown,8
46,5,0,0,1,toMarket,8
46,6,0,0,0,toMarket,8
46,7,0,0,0,toMarket,8
46,8,0,0,0,toMarket,8
46,9,0,0,0,toMarket,8
46,10,0,1,1,toMarket,8
46,11,0,0,1,toMarket,5
46,12,0,1,1,toCave,6
46,13,1,0,0,toCave,2
46,14,0,0,0,toCave,2
47,0,0,0,0,toMarket,0
47,1,0,0,0,toMarket,0
47,2,0,1,1,toMarket,1
47,3,0,0,0,toMarket,5
47,4,1,0,0,toCave,6
47,5,1,0,0,toCave,7
47,6,1,0,0,toCave,2
47,7,1,0,0,toCave,2
47,8,1,0,0,toCave,2
47,9,1,0,0,toCave,2
47,10,1,0,0,toCave,2
47,11,0,0,0,toCave,2
47,12,1,0,0,toCave,2
47,13,1,0,0,toCave,2
47,14,1,0,0,toCave,2
48,0,0,0,0,toMarket,0
48,1,0,0,0,toMarket,0
48,2,0,0,0,toMarket,1
48,3,0,0,1,toTown,3
48,4,0,0,1,toTown,8
48,5,0,0,1,toMarket,8
48,6,0,0,0,toMarket,8
48,7,0,0,0,toMarket,8
48,8,0,0,0,toMarket,8
48,9,0,0,0,toMarket,8
48,10,0,0,0,toMarket,8
48,11,0,1,1,toMarket,8
48,12,0,1,1,toMarket,5
48,13,1,0,1,toCave,6
48,14,0,0,0,toCave,8
49,0,0,0,0,toMarket,0
49,1,0,0,0,toMarket,0
49,2,0,1,1,toMarket,1
49,3,0,1,1,toMarket,5
49,4,0,1,1,toCave,6
49,5,0,1,1,toCave,2
49,6,0,1,1,toCave,2
49,7,1,0,0,toCave,2
49,8,1,0,0,toCave,2
49,9,1,0,0,toCave,2
49,10,1,0,0,toCave,2
49,11,1,0,0,toCave,2
49,12,1,0,0,toCave,2
49,13,1,0,0,toCave,2
49,14,0,0,0,toCave,2
50,0,0,0,0,toMarket,0
50,1,0,0,0,toMarket,0
50,2,0,0,0,toMarket,1
50,3,0,0,0,toTown,3
50,4,0,0,0,toMarket,3
50,5,0,0,0,toMarket,3
50,6,0,1,1,toMarket,3
50,7,0,0,1,toMarket,5
50,8,1,0,0,toCave,6
50,9,1,0,0,toCave,7
50,10,1,0,0,toCave,2
50,11,1,0,0,toCave,2
50,12,1,0,0,toCave,2
50,13,1,0,0,toCave,2
50,14,1,0,0,toCave,2
51,0,0,0,0,toMarket,0
51,1,0,0,0,toMarket,0
51,2,0,0,0,toMarket,1
51,3,0,0,1,toTown,3
51,4,0,0,1,toTown,8
51,5,0,0,0,toMarket,8
51,6,0,0,0,toMarket,8
51,7,0,1,1,toMarket,8
51,8,0,1,1,toMarket,5
51,9,1,1,0,toCave,6
51,10,1,0,0,toCave,7
51,11,1,0,0,toCave,2
51,12,1,0,0,toCave,2
51,13,1,0,0,toCave,2
51,14,1,0,0,toCave,2
52,0,0,0,0,toMarket,0
52,1,0,0,0,toMarket,0
52,2,0,1,0,toMarket,1
52,3,0,1,1,toMarket,4
52,4,0,1,1,toMarket,5
52,5,0,0,0,toCave,6
52,6,1,0,0,toCave,2
52,7,0,0,0,toCave,2
52,8,0,0,1,toCave,2
52,9,1,0,0,toCave,2
52,10,1,0,0,toCave,2
52,11,1,0,0,toCave,2
52,12,1,0,0,toCave,2
52,13,1,0,0,toCave,2
52,14,0,0,0,toCave,2
53,0,0,0,0,toMarket,0
53,1,0,0,0,toMarket,0
53,2,0,1,1,toMarket,1
53,3,0,1,1,toMarket,5
53,4,1,0,0,toCave,6
53,5,0,0,0,toCave,7
53,6,0,0,0,toTown,7
53,7,1,0,0,toTown,7
53,8,0,0,1,toTown,2
53,9,0,0,0,toTown,2
53,10,0,0,0,toTown,2
53,11,0,0,0,toTown,2
53,12,0,0,1,toTown,2
